case,batch_size,context_length,mode,profile,classification,capacity_domain,capacity_state,spill_bytes,kv_cache_bytes,cache_key,gpu_read_transactions,local_kv_read_transactions,cxl_kv_read_transactions,pim_gwrite_waves,pim_mac_waves,pim_read_waves,tick_ps,local_channels,cxl_channels,gpu_injected_requests,gpu_completed_requests,local_kv_injected_requests,local_kv_completed_requests,cxl_kv_injected_requests,cxl_kv_completed_requests,pim_injected_requests,pim_completed_requests,gpu_completion_cycles,local_kv_completion_cycles,cxl_kv_completion_cycles,pim_completion_cycles,total_completion_cycles,local_read_latency_cycles,cxl_read_latency_cycles,cxl_queue_wait_cycles,cxl_max_queue_wait_cycles,cxl_request_residence_cycles,cxl_max_request_residence_cycles,cxl_link_busy_cycles,cxl_controller_completion_cycles,gpu_injection_rejected_attempts,local_kv_injection_rejected_attempts,cxl_kv_injection_rejected_attempts,total_completion_us,cxl_queue_wait_us,cxl_read_latency_us,cxl_link_busy_ratio,cxl_bandwidth_gb_s,cxl_latency_us
b8_c32k,8,32768,expert-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,52a084dfc218ae0b6e84681e05f87ad78c4c4c67dc04d969973d0447ba6f33c2,288,0,0,1,1,1,312,128,4,288,288,0,0,0,0,768,768,121,0,0,192,192,31824,0,0,0,0,0,0,0,0,0,0,0.059904,0.0,0.0,0.0,32.0,0.5
b8_c32k,8,32768,local-kv-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,4cf151b8f80c5f3fb86699b243ec154209667ca9d907743316277f453c1f8205,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,32.0,0.5
b8_c32k,8,32768,cxl-kv-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,039d4787eebf4d012888851034728fd48eed2cc4e035edc78c41c13ecb5bbba7,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,5127,0,5127,0,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b8_c32k,8,32768,local-kv-plus-expert,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,b1b18db60414f1d12e5dc0bcb898b7aa646faf6b23125a08215f35231a6b7d12,288,3009,0,1,1,1,312,128,4,288,288,3009,3009,0,0,768,768,127,271,0,192,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,32.0,0.5
b8_c32k,8,32768,cxl-kv-plus-local-kv,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,67fa4e57f83b56e1b2e7836db9f4af0f198029d32aef15f1e3d47d25d38fe1a5,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,5127,0,5127,492735,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b8_c32k,8,32768,cxl-kv-plus-local-kv-plus-expert,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,7f97480a244b4a63ede6027daa1361ef49b68fac33e2fee5a539dfa1f19be7e0,288,3009,1087,1,1,1,312,128,4,288,288,3009,3009,1087,1087,768,768,127,271,5127,192,5127,562878,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b8_c32k,8,32768,expert-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,a56c9396850fa29d51d890b4d7752aff7611639ff431bf701deb2f91e599e0a8,288,0,0,1,1,1,312,128,4,288,288,0,0,0,0,768,768,121,0,0,192,192,31824,0,0,0,0,0,0,0,0,0,0,0.059904,0.0,0.0,0.0,64.0,0.25
b8_c32k,8,32768,local-kv-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,0046f86ec5c72f73b787c3a913d7dcecb5229d41ed147af07f1a6d6392065738,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,64.0,0.25
b8_c32k,8,32768,cxl-kv-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,87e1a8d066c698b76a4f3ba97d1fe6f5c960244c1a9829d679cf3a9366a3a3b0,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,2700,0,2700,0,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b8_c32k,8,32768,local-kv-plus-expert,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,5f62e0d3960c749599463c93d9c5ca971b7c5dca3ba74781af85d2ae89288bd6,288,3009,0,1,1,1,312,128,4,288,288,3009,3009,0,0,768,768,127,271,0,192,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,64.0,0.25
b8_c32k,8,32768,cxl-kv-plus-local-kv,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,9dd2cd9d903eb1458449472cf3ea178b4a45f91b8946c1334f469bd929945e69,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,2700,0,2700,492735,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b8_c32k,8,32768,cxl-kv-plus-local-kv-plus-expert,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,e2042b780e2ea911176d053ea8e6e1912861b67aca0717b5238f406315f74879,288,3009,1087,1,1,1,312,128,4,288,288,3009,3009,1087,1087,768,768,127,271,2700,192,2700,562878,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b8_c32k,8,32768,expert-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,112a48b3ec062db73e6d924241bcf6eb48ebd765d5815e1bd20ae8a7838bfd3b,288,0,0,1,1,1,312,128,4,288,288,0,0,0,0,768,768,121,0,0,192,192,31824,0,0,0,0,0,0,0,0,0,0,0.059904,0.0,0.0,0.0,128.0,0.1
b8_c32k,8,32768,local-kv-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,1e646e5fd2874b7442e1a6a95076ce411233de8f64d8a44facae3f7c1d36de17,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,128.0,0.1
b8_c32k,8,32768,cxl-kv-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,e27d0e00bd06056da9209cc22823ebba0d9cd70caffffa233ea9b18b5f732704,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,1406,0,1406,0,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
b8_c32k,8,32768,local-kv-plus-expert,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,d5468c46db1d57ef01bd8d0880ee1e4c6b55f275b2661fea05f74bb5093942dc,288,3009,0,1,1,1,312,128,4,288,288,3009,3009,0,0,768,768,127,271,0,192,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,128.0,0.1
b8_c32k,8,32768,cxl-kv-plus-local-kv,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,b0fb1d1ba54f0cd3e145aed4336cf9daa21c8925bcb425a80547bec1890fa011,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,1406,0,1406,492735,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
b8_c32k,8,32768,cxl-kv-plus-local-kv-plus-expert,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6834745344,25769803776,53e59c72368c400096c74846f2c3f2e2cc74025e1df0eaa551969034347d7cad,288,3009,1087,1,1,1,312,128,4,288,288,3009,3009,1087,1087,768,768,127,271,1406,192,1406,562878,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
b16_c16k,16,16384,expert-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,6530ed3570676ee189db0e340b26b1d5057246288147a68df758427f08a1123d,288,0,0,2,1,1,312,128,4,288,288,0,0,0,0,1024,1024,121,0,0,196,196,31824,0,0,0,0,0,0,0,0,0,0,0.061152,0.0,0.0,0.0,32.0,0.5
b16_c16k,16,16384,local-kv-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,edcf7b99ca3503be3f9c3d5ce42873d2023777108bd5c825b00164027f96fb4f,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,32.0,0.5
b16_c16k,16,16384,cxl-kv-only,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,811a7e295cf706bab0fe680796efe29684533b54c91734ffdd42d05bd7bcb4d5,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,5127,0,5127,0,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b16_c16k,16,16384,local-kv-plus-expert,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,810516a7d1feb3f80923a4bf112f189b8ade40c50bad27c8340c1de5dcda8734,288,3009,0,2,1,1,312,128,4,288,288,3009,3009,0,0,1024,1024,127,271,0,197,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,32.0,0.5
b16_c16k,16,16384,cxl-kv-plus-local-kv,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,46df108b17147c30a9979d9decc3470d3ba04b08defe1654de94b8a5000ec896,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,5127,0,5127,492735,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b16_c16k,16,16384,cxl-kv-plus-local-kv-plus-expert,conservative-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,fb48d2cec1c25fcd71178d70cbbf9cbd8f793b251b401f150818bb5a8c9a6f73,288,3009,1087,2,1,1,312,128,4,288,288,3009,3009,1087,1087,1024,1024,127,271,5127,197,5127,562878,3582577,1840116,3328,3582577,4931,14131,5127,0,0,320,1.599624,574.116192,1117.764024,0.6890481763214356,32.0,0.5
b16_c16k,16,16384,expert-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,46037f62db4d958f386ee7e6c1c5d783c65f21bd7b6a5b8e4ed90d3f2c43d3aa,288,0,0,2,1,1,312,128,4,288,288,0,0,0,0,1024,1024,121,0,0,196,196,31824,0,0,0,0,0,0,0,0,0,0,0.061152,0.0,0.0,0.0,64.0,0.25
b16_c16k,16,16384,local-kv-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,231926534d1616e935fa75e685726d45ff38c3c7eb6ad4cb89bc95456514d83c,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,64.0,0.25
b16_c16k,16,16384,cxl-kv-only,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,40995d1614080b7472e07c29b2fbb57d64075e0f8d089eae1aa614d663d235a8,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,2700,0,2700,0,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b16_c16k,16,16384,local-kv-plus-expert,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,e75571b5f1fdf53195c819bd781f48f48e1e0040b724cb22b31b3b1c793034ae,288,3009,0,2,1,1,312,128,4,288,288,3009,3009,0,0,1024,1024,127,271,0,197,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,64.0,0.25
b16_c16k,16,16384,cxl-kv-plus-local-kv,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,3aac781c728c319eb3f8d05c356f29d27598c772481fecfcfd07a1cb583b9eed,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,2700,0,2700,492735,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b16_c16k,16,16384,cxl-kv-plus-local-kv-plus-expert,nominal-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,eec05b1d951d4ec3bc809d39a0c92acbbbe5ef749aac240eac15767a120ade69,288,3009,1087,2,1,1,312,128,4,288,288,3009,3009,1087,1087,1024,1024,127,271,2700,197,2700,562878,1829627,957853,1763,1829627,2565,7609,2700,0,0,0,0.8424,298.850136,570.843624,0.7045370370370371,64.0,0.25
b16_c16k,16,16384,expert-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,7bc627c4469e97e728e5d67d215bea2c89e26864b568d021bb25f7b06fa5d6e4,288,0,0,2,1,1,312,128,4,288,288,0,0,0,0,1024,1024,121,0,0,196,196,31824,0,0,0,0,0,0,0,0,0,0,0.061152,0.0,0.0,0.0,128.0,0.1
b16_c16k,16,16384,local-kv-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,d0ceb7cd4af714c2b4005a476abdce56f5b15f3212fadbd949f42e9377241477,0,4096,0,0,0,0,312,128,4,0,0,4096,4096,0,0,0,0,0,279,0,0,279,761856,0,0,0,0,0,0,0,0,0,0,0.087048,0.0,0.0,0.0,128.0,0.1
b16_c16k,16,16384,cxl-kv-only,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,b264018ecc855d3d25667c255452abc31d8d3ce8d059feb5d6817f0e51fb723d,0,0,1087,0,0,0,312,128,4,0,0,0,0,1087,1087,0,0,0,0,1406,0,1406,0,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
b16_c16k,16,16384,local-kv-plus-expert,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,c03586646cef278860aa813006449bb2404cc58663449fb740fa486ac1b9355b,288,3009,0,2,1,1,312,128,4,288,288,3009,3009,0,0,1024,1024,127,271,0,197,271,562878,0,0,0,0,0,0,0,0,0,0,0.084552,0.0,0.0,0.0,128.0,0.1
b16_c16k,16,16384,cxl-kv-plus-local-kv,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,80a82e18041bcd687cbe1bb22e4987d87dfdf81a4b58a696e1e2cecfd5e2cc26,0,3009,1087,0,0,0,312,128,4,0,0,3009,3009,1087,1087,0,0,0,237,1406,0,1406,492735,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
b16_c16k,16,16384,cxl-kv-plus-local-kv-plus-expert,optimistic-assumption,Ramulator request-level memory-only CXL sensitivity; no A800 timing,a800-80gb,spill,6835466240,25769803776,dce3a43491ed68378831daac20630b1cd5f3f672b3ad1c3871374e2da3eda0ed,288,3009,1087,2,1,1,312,128,4,288,288,3009,3009,1087,1087,1024,1024,127,271,1406,197,1406,562878,865321,516394,950,865321,1271,4348,1406,0,0,0,0.438672,161.114928,269.980152,0.7731152204836416,128.0,0.1
