case,placement,scope,gpu_experts,pim_experts,kv_read_bytes_per_layer,expert_only_us,kv_only_us,combined_us,serial_memory_reference_us,combined_minus_isolated_max_us,gpu_expert_completion_delta_us,pim_expert_completion_delta_us,kv_completion_delta_us,gpu_expert_only_completion_us,gpu_combined_completion_us,pim_expert_only_completion_us,pim_combined_completion_us,kv_isolated_completion_us,kv_combined_completion_us,gpu_requested,gpu_injected,gpu_completed,kv_requested,kv_injected,kv_completed,pim_injected,pim_completed,controller_read_completed,gpu_request_residence_cycles,kv_request_residence_cycles,gpu_accepted_to_column_issue_cycles,kv_accepted_to_column_issue_cycles,gpu_request_residence_mean_us,kv_request_residence_mean_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_request_residence_max_us,kv_request_residence_max_us,gpu_isolated_request_residence_mean_us,kv_isolated_request_residence_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts,expert_shape_key,kv_shape_key,combined_shape_key
b16_c8k,gpu-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",8,0,268435456,23.288616,84.240936,107.276208,107.52955200000001,23.035271999999992,53.533896,0.0,23.035271999999992,23.288616,76.822512,0.0,0.0,84.240936,107.276208,2359296,2359296,2359296,8388608,8388608,8388608,0,0,10747904,2509291904,9374083456,2405482880,9004984704,0.33183588411458337,0.34865308264160155,0.31810788411458335,0.33492508264160153,0.508872,0.56004,0.33713578776041664,0.34485911389160157,12205312,43079936,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8
b16_c8k,frozen-oracle,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",7,1,268435456,24.661104,84.240936,103.918152,108.90204,19.677216,51.690912,0.003431999999996549,19.677216,20.327112,72.018024,24.661104,24.664536,84.240936,103.918152,2064384,2064384,2064384,8388608,8388608,8388608,722944,722944,10452992,2173007488,9337464704,2082174592,8968365952,0.32841677529761903,0.3472911104736328,0.314688775297619,0.3335631104736328,0.51324,0.561288,0.3360483556547619,0.34485911389160157,10588416,43084672,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3
b16_c8k,fixed-half-prefix,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",4,4,268435456,98.535528,84.240936,98.559552,182.776464,0.02402399999999716,47.737247999999994,0.02402399999999716,11.52216,11.366784,59.104032,98.535528,98.559552,84.240936,95.763096,1179648,1179648,1179648,8388608,8388608,8388608,2891776,2891776,9568256,1216977408,9364718976,1165072896,8995620224,0.32187309375,0.34830478674316406,0.30814509375000004,0.33457678674316405,0.530712,0.55848,0.32652492708333336,0.34485911389160157,15931776,33453056,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5
b8_c16k,gpu-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",8,0,268435456,23.288616,84.240936,107.276208,107.52955200000001,23.035271999999992,53.533896,0.0,23.035271999999992,23.288616,76.822512,0.0,0.0,84.240936,107.276208,2359296,2359296,2359296,8388608,8388608,8388608,0,0,10747904,2509291904,9374083456,2405482880,9004984704,0.33183588411458337,0.34865308264160155,0.31810788411458335,0.33492508264160153,0.508872,0.56004,0.33713578776041664,0.34485911389160157,12205312,43079936,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8
b8_c16k,frozen-oracle,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",7,1,268435456,20.298408,84.240936,104.280384,104.539344,20.039447999999993,52.10056800000001,0.0015599999999995617,20.039447999999993,20.298408,72.398976,12.347712,12.349272,84.240936,104.280384,2064384,2064384,2064384,8388608,8388608,8388608,361472,361472,10452992,2193431680,9353368960,2102598784,8984270208,0.3315035788690476,0.34788264221191406,0.3177755788690476,0.33415464221191404,0.522288,0.567528,0.3356095476190476,0.34485911389160157,10831104,42949376,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce
b8_c16k,fixed-half-prefix,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",4,4,268435456,49.28508,84.240936,95.2926,133.526016,11.051663999999988,47.513543999999996,0.016536000000002105,11.051663999999988,11.37396,58.887504,49.28508,49.301616,84.240936,95.2926,1179648,1179648,1179648,8388608,8388608,8388608,1445888,1445888,9568256,1199979904,9332832384,1148075392,8963733632,0.3173774973958333,0.34711881921386717,0.3036494973958333,0.3333908192138672,0.51636,0.562848,0.3267188776041667,0.34485911389160157,16914432,32287744,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71
b8_c4k,gpu-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",8,0,67108864,23.288616,20.662824,43.688112,43.951440000000005,20.399495999999996,20.399495999999996,0.0,21.823464,23.288616,43.688112,0.0,0.0,20.662824,42.486288,2359296,2359296,2359296,2097152,2097152,2097152,0,0,4456448,2517574912,2345668608,2413765888,2253393920,0.33293125260416667,0.348972609375,0.31920325260416665,0.335244609375,0.502944,0.558168,0.33713578776041664,0.33626567431640625,11839744,10590336,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9
b8_c4k,frozen-oracle,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",7,1,67108864,20.298408,20.662824,40.710072,40.961231999999995,20.047247999999996,20.323056000000005,0.0015599999999995617,20.047247999999996,20.298408,40.621464,12.347712,12.349272,20.662824,40.710072,2064384,2064384,2064384,2097152,2097152,2097152,361472,361472,4161536,2199795712,2335171072,2108962816,2242896384,0.3324654047619048,0.347410857421875,0.31873740476190476,0.333682857421875,0.522288,0.56004,0.3356095476190476,0.33626567431640625,10723328,10218368,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea
b8_c4k,fixed-half-prefix,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",4,4,67108864,49.28508,20.662824,49.301928,69.947904,0.016847999999995977,16.28484,0.016847999999995977,11.639783999999999,11.37396,27.6588,49.28508,49.301928,20.662824,32.302608,1179648,1179648,1179648,2097152,2097152,2097152,1445888,1445888,3276800,1236958336,2342215680,1185053824,2249940992,0.3271577630208333,0.34845890625,0.3134297630208333,0.33473090625,0.509496,0.559728,0.3267188776041667,0.33626567431640625,7828992,8695808,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903
b8_c8k,gpu-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",8,0,134217728,23.288616,41.860104,64.851696,65.14872,22.991592000000004,32.295432000000005,0.0,22.991592000000004,23.288616,55.584048,0.0,0.0,41.860104,64.851696,2359296,2359296,2359296,4194304,4194304,4194304,0,0,6553600,2506426240,4698465920,2402617216,4513916544,0.33145692057291665,0.34950288940429686,0.31772892057291663,0.3357748894042969,0.510432,0.567216,0.33713578776041664,0.34206019262695314,12372736,20993536,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3
