case,placement,mode,scope,step,layer,batch_size,context_lengths,kv_read_bytes_per_layer,gpu_experts,pim_experts,gpu_tokens,pim_tokens,shape,shape_key
b8_c4k,gpu-only,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97, 120]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f
b8_c4k,gpu-only,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97, 120]",[],64,0,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639
b8_c4k,gpu-only,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97, 120]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9
b8_c4k,frozen-oracle,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97]",[120],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881
b8_c4k,frozen-oracle,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97]",[120],56,8,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639
b8_c4k,frozen-oracle,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63, 83, 93, 97]",[120],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea
b8_c4k,fixed-half-prefix,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63]","[83, 93, 97, 120]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1
b8_c4k,fixed-half-prefix,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63]","[83, 93, 97, 120]",32,32,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639
b8_c4k,fixed-half-prefix,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[4096, 4096, 4096, 4096, 4096, 4096, 4096, 4096]",67108864,"[14, 31, 43, 63]","[83, 93, 97, 120]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903
b8_c8k,gpu-only,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106, 110]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f
b8_c8k,gpu-only,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106, 110]",[],64,0,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14
b8_c8k,gpu-only,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106, 110]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3
b8_c8k,frozen-oracle,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106]",[110],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881
b8_c8k,frozen-oracle,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106]",[110],56,8,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14
b8_c8k,frozen-oracle,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51, 57, 103, 106]",[110],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce
b8_c8k,fixed-half-prefix,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51]","[57, 103, 106, 110]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1
b8_c8k,fixed-half-prefix,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51]","[57, 103, 106, 110]",32,32,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14
b8_c8k,fixed-half-prefix,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",134217728,"[14, 21, 50, 51]","[57, 103, 106, 110]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444
b8_c16k,gpu-only,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92, 114]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f
b8_c16k,gpu-only,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92, 114]",[],64,0,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34
b8_c16k,gpu-only,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92, 114]",[],64,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8
b8_c16k,frozen-oracle,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92]",[114],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881
b8_c16k,frozen-oracle,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92]",[114],56,8,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34
b8_c16k,frozen-oracle,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44, 59, 65, 92]",[114],56,8,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce
b8_c16k,fixed-half-prefix,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44]","[59, 65, 92, 114]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1
b8_c16k,fixed-half-prefix,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44]","[59, 65, 92, 114]",32,32,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34
b8_c16k,fixed-half-prefix,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,8,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",268435456,"[6, 26, 43, 44]","[59, 65, 92, 114]",32,32,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71
b16_c8k,gpu-only,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100, 114]",[],128,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f
b16_c8k,gpu-only,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100, 114]",[],128,0,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34
b16_c8k,gpu-only,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100, 114]",[],128,0,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8
b16_c8k,frozen-oracle,expert-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100]",[114],112,16,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245
b16_c8k,frozen-oracle,kv-only,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100]",[114],112,16,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34
b16_c8k,frozen-oracle,combined,"one representative layer-batch per case: step 0, layer 0; not all 384 layer-batches",0,0,16,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",268435456,"[43, 45, 65, 73, 85, 98, 100]",[114],112,16,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3
