variant,shape_key,shape,total_completion_us,baseline_total_completion_us,delta_total_completion_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts
baseline-rb256-dual,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",20.662824,20.662824,0.0,0.0,0.32253767431640623,0,10458368
baseline-rb256-dual,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",40.710072,40.710072,0.0,0.31873740476190476,0.333682857421875,10723328,10218368
baseline-rb256-dual,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",107.276208,107.276208,0.0,0.31810788411458335,0.33492508264160153,12205312,43079936
baseline-rb256-dual,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.301928,49.301928,0.0,0.3134297630208333,0.33473090625,7828992,8695808
baseline-rb256-dual,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",23.288616,23.288616,0.0,0.3234077877604167,0.0,11812096,0
baseline-rb256-dual,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",98.535528,98.535528,0.0,0.31279692708333334,0.0,5655552,0
baseline-rb256-dual,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",64.851696,64.851696,0.0,0.31772892057291663,0.3357748894042969,12372736,20993536
baseline-rb256-dual,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",24.661104,24.661104,0.0,0.32232035565476186,0.0,10305152,0
baseline-rb256-dual,7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",61.883016,61.883016,0.0,0.3180559880952381,0.33410700146484373,11127168,20745472
baseline-rb256-dual,987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",95.2926,95.2926,0.0,0.3036494973958333,0.3333908192138672,16914432,32287744
