step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,0,6,8,0.125,0.575612381,1
0,0,26,8,0.125,2.105502486,2
0,0,43,8,0.125,0.584676936,3
0,0,44,8,0.125,1.493024796,4
0,0,59,8,0.125,0.747827113,5
0,0,65,8,0.125,1.402567118,6
0,0,92,8,0.125,0.52410084,7
0,0,114,8,0.125,0.566688329,8
0,1,26,8,0.125,0.789712809,1
0,1,33,8,0.125,0.686114334,2
0,1,34,8,0.125,0.85388308,3
0,1,49,8,0.125,0.730364941,4
0,1,50,8,0.125,2.113380909,5
0,1,94,8,0.125,1.211265773,6
0,1,111,8,0.125,0.615028851,7
0,1,124,8,0.125,1.000249304,8
0,2,18,8,0.125,0.654303633,1
0,2,49,8,0.125,0.632938705,2
0,2,53,8,0.125,1.431923494,3
0,2,62,8,0.125,0.685704358,4
0,2,72,8,0.125,2.120384723,5
0,2,82,8,0.125,0.988003418,6
0,2,88,8,0.125,0.672447629,7
0,2,123,8,0.125,0.81429404,8
0,3,51,8,0.125,0.860654019,1
0,3,56,8,0.125,1.164941117,2
0,3,67,8,0.125,0.960128859,3
0,3,71,8,0.125,1.07319054,4
0,3,87,8,0.125,0.89144206,5
0,3,101,8,0.125,0.948935144,6
0,3,108,8,0.125,0.919739455,7
0,3,114,8,0.125,1.180968806,8
0,4,12,8,0.125,1.206210837,1
0,4,43,8,0.125,0.923037507,2
0,4,64,8,0.125,1.074925244,3
0,4,100,8,0.125,1.117737025,4
0,4,107,8,0.125,0.899881087,5
0,4,108,8,0.125,0.899881087,6
0,4,114,8,0.125,1.007827863,7
0,4,127,5,0.078125,0.545142211,8
0,4,65,3,0.046875,0.325357139,0
0,5,32,8,0.125,1.100194141,1
0,5,46,8,0.125,1.319419175,2
0,5,53,8,0.125,0.877147429,3
0,5,65,8,0.125,1.117733374,4
0,5,94,8,0.125,0.845183119,5
0,5,104,8,0.125,0.995887689,6
0,5,106,8,0.125,0.912337393,7
0,5,73,6,0.09375,0.625361055,8
0,5,20,1,0.015625,0.102628335,0
0,5,120,1,0.015625,0.104108289,0
0,6,33,8,0.125,1.108394012,1
0,6,49,8,0.125,1.132577151,2
0,6,58,8,0.125,0.983883321,3
0,6,82,8,0.125,0.991556838,4
0,6,92,8,0.125,0.961131096,5
0,6,112,8,0.125,1.033688001,6
0,6,121,8,0.125,0.917040169,7
0,6,22,6,0.09375,0.649895296,8
0,6,126,2,0.03125,0.221834116,0
0,7,15,8,0.125,1.169322237,1
0,7,19,8,0.125,0.970135741,2
0,7,24,8,0.125,1.052356139,3
0,7,29,8,0.125,1.024112046,4
0,7,52,8,0.125,0.910669096,5
0,7,56,8,0.125,0.960278578,6
0,7,114,8,0.125,1.044159845,7
0,7,125,8,0.125,0.868966319,8
0,8,23,8,0.125,0.886436939,1
0,8,50,8,0.125,0.981198043,2
0,8,53,8,0.125,1.050649062,3
0,8,58,8,0.125,1.098862305,4
0,8,83,8,0.125,0.936291881,5
0,8,92,8,0.125,0.990779757,6
0,8,102,8,0.125,1.16762419,7
0,8,66,6,0.09375,0.667870238,8
0,8,17,1,0.015625,0.109128952,0
0,8,68,1,0.015625,0.111158632,0
0,9,11,8,0.125,0.92158673,1
0,9,23,8,0.125,0.931804769,2
0,9,26,8,0.125,1.048525967,3
0,9,58,8,0.125,0.942761831,4
0,9,67,8,0.125,1.327022642,5
0,9,124,8,0.125,1.060288653,6
0,9,2,6,0.09375,0.658760265,7
0,9,39,5,0.078125,0.552150071,8
0,9,69,4,0.0625,0.446250834,0
0,9,63,1,0.015625,0.110848241,0
0,10,6,8,0.125,1.016808495,1
0,10,36,8,0.125,1.096740484,2
0,10,42,8,0.125,0.882934108,3
0,10,48,8,0.125,0.919937342,4
0,10,59,8,0.125,0.998456791,5
0,10,84,8,0.125,1.077925473,6
0,10,92,8,0.125,1.142985731,7
0,10,5,7,0.109375,0.75722196,8
0,10,1,1,0.015625,0.106989615,0
0,11,14,8,0.125,1.025001228,1
0,11,17,8,0.125,1.154324412,2
0,11,76,8,0.125,0.936902709,3
0,11,81,8,0.125,1.18406257,4
0,11,104,8,0.125,0.887276791,5
0,11,121,8,0.125,1.114617169,6
0,11,36,7,0.109375,0.758349478,7
0,11,15,6,0.09375,0.622877285,8
0,11,52,2,0.03125,0.211818896,0
0,11,48,1,0.015625,0.104769461,0
0,12,11,8,0.125,1.366454259,1
0,12,18,8,0.125,1.047904879,2
0,12,27,8,0.125,0.896318682,3
0,12,39,8,0.125,0.908797681,4
0,12,49,8,0.125,0.835288003,5
0,12,62,8,0.125,0.807947464,6
0,12,111,8,0.125,1.137246221,7
0,12,125,8,0.125,1.000042811,8
0,13,13,8,0.125,0.923695967,1
0,13,27,8,0.125,0.932768099,2
0,13,31,8,0.125,0.812383808,3
0,13,33,8,0.125,1.47889033,4
0,13,34,8,0.125,1.172163472,5
0,13,92,8,0.125,0.83115273,6
0,13,93,8,0.125,0.810328685,7
0,13,110,8,0.125,1.038616911,8
