step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
0,0,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"14,21,50,51,57,103,106,110",1.0,"8,8,8,8,8,8,8,8"
0,1,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"3,6,9,33,42,49,51,95",1.0,"8,8,8,8,8,8,8,8"
0,2,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"56,72,82,90,92,95,122,123",1.0,"8,8,8,8,8,8,8,8"
0,3,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"30,39,56,71,87,108,114,117",1.0,"8,8,8,8,8,8,8,8"
0,4,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"12,19,64,65,100,108,110,114",1.0,"8,8,8,8,8,8,8,8"
0,5,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,38,46,53,65,73,84,104",1.0,"8,8,8,8,8,8,8,8"
0,6,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"33,43,49,58,82,112,116,126",1.0,"8,8,8,8,8,8,8,8"
0,7,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,19,29,44,52,56,75,114",1.0,"8,8,8,8,8,8,8,8"
0,8,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,50,53,83,85,92,102,123",1.0,"8,8,8,8,8,8,8,8"
0,9,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,11,13,16,38,92,124,125",1.0,"8,8,8,8,8,8,8,8"
0,10,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"1,6,9,29,42,48,84,98",1.0,"8,8,8,8,8,8,8,8"
0,11,8,8192,8192,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"3,17,62,76,81,108,109,121",0.984375,"8,8,8,8,8,8,8,7,1"
0,12,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,24,41,57,78,106,111,125",1.0,"8,8,8,8,8,8,8,8"
