step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
0,0,8,14,25,64,26,102,7,2.461538462,2.633913438,0.782499002,0.875244141,8,"21,50,2,75,34,97,51,13",0.609375,"7,7,6,6,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1"
0,1,8,14,25,64,26,102,8,2.461538462,2.669269563,0.806467994,0.877685547,8,"6,119,3,95,23,58,80,88",0.625,"8,7,6,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
0,2,8,14,25,64,31,97,7,2.064516129,2.34520788,0.757772228,0.844482422,8,"47,40,84,95,122,100,125,8",0.53125,"7,6,5,4,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,3,8,14,25,64,22,106,8,2.909090909,2.968585522,0.828567099,0.901367188,8,"4,16,64,84,2,82,115,112",0.71875,"8,7,7,7,6,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1"
0,4,8,14,25,64,25,103,8,2.56,2.772634127,0.834731899,0.883300781,8,"56,81,104,52,25,47,50,76",0.625,"8,8,7,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1"
0,5,8,14,25,64,23,105,8,2.782608696,2.926174978,0.847503226,0.895019531,8,"13,17,68,47,105,107,34,37",0.671875,"8,8,8,6,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1"
0,6,8,14,25,64,24,104,8,2.666666667,2.75,0.778118725,0.887939453,8,"8,53,56,71,34,30,80,25",0.65625,"8,6,6,6,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1"
0,7,8,14,25,64,30,98,7,2.133333333,2.586020108,0.895409299,0.859619141,8,"18,109,3,59,9,16,28,31",0.59375,"7,7,6,6,5,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,8,8,14,25,64,20,108,8,3.2,3.211308145,0.876115361,0.913818359,8,"36,38,116,3,46,109,26,84",0.78125,"8,8,8,7,7,6,3,3,2,2,1,1,1,1,1,1,1,1,1,1"
0,9,8,14,25,64,23,105,8,2.782608696,2.772634127,0.749022801,0.891113281,8,"10,114,19,65,9,49,117,122",0.65625,"8,7,6,5,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1"
0,10,8,14,25,64,26,102,8,2.461538462,2.5,0.6875,0.8671875,8,"53,26,30,61,98,56,58,73",0.546875,"8,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1"
0,11,8,14,25,64,24,104,7,2.666666667,2.62202212,0.690335064,0.881347656,8,"7,21,67,82,89,61,23,26",0.609375,"7,6,6,5,5,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1"
0,12,8,14,25,64,23,105,8,2.782608696,2.772634127,0.749022801,0.890869141,8,"56,116,65,24,79,15,9,52",0.640625,"8,7,6,5,5,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1"
0,13,8,14,25,64,23,105,7,2.782608696,2.62202212,0.644235254,0.883544922,8,"77,104,23,42,98,6,28,26",0.609375,"7,6,5,5,5,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1"
0,14,8,14,25,64,24,104,6,2.666666667,2.5,0.59947894,0.874511719,8,"90,17,48,75,88,79,100,8",0.578125,"6,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1"
0,15,8,14,25,64,26,102,8,2.461538462,2.80624304,0.895954449,0.882324219,8,"10,59,70,16,85,18,120,23",0.640625,"8,8,7,6,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,16,8,14,25,64,28,100,6,2.285714286,2.358495283,0.659959753,0.856201172,8,"73,124,103,17,84,50,55,81",0.53125,"6,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
0,17,8,14,25,64,29,99,7,2.206896552,2.487468593,0.792728181,0.860351562,8,"18,83,21,69,78,120,55,105",0.578125,"7,7,5,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,18,8,14,25,64,29,99,8,2.206896552,2.549509757,0.83619301,0.862304688,8,"8,71,25,44,56,105,32,53",0.59375,"8,7,5,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,19,8,14,25,64,26,102,7,2.461538462,2.610076627,0.766103167,0.875732422,8,"18,59,109,79,9,112,3,31",0.609375,"7,7,6,5,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
0,20,8,14,25,64,23,105,8,2.782608696,2.783882181,0.756482402,0.891845703,8,"116,38,46,3,57,65,84,101",0.65625,"8,7,6,5,5,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1"
0,21,8,14,25,64,25,103,8,2.56,2.704163457,0.789642423,0.883056641,8,"10,122,9,49,125,110,114,87",0.640625,"8,7,5,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
0,22,8,14,25,64,21,107,8,3.047619048,2.761340254,0.644235254,0.893798828,8,"98,56,26,53,69,30,61,78",0.640625,"8,6,5,5,5,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1"
0,23,8,14,25,64,21,107,7,3.047619048,2.861380786,0.712266958,0.899658203,8,"7,21,23,96,61,125,24,26",0.6875,"7,7,6,6,5,5,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1"
0,24,8,14,25,64,26,102,8,2.461538462,2.704163457,0.829744878,0.879150391,8,"56,65,24,96,15,99,9,50",0.625,"8,8,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,25,8,14,25,64,23,105,8,2.782608696,2.633913438,0.6528932,0.883056641,8,"104,26,42,58,0,6,15,28",0.609375,"8,5,5,5,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1"
0,26,8,14,25,64,29,99,6,2.206896552,2.291287847,0.644992733,0.849609375,8,"90,100,17,48,79,88,107,55",0.53125,"6,5,4,4,4,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,27,8,14,25,64,25,103,7,2.56,2.633913438,0.741817342,0.879882812,8,"70,49,59,10,101,120,18,56",0.625,"7,6,6,5,5,5,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1"
0,28,8,14,25,64,30,98,6,2.133333333,2.236067977,0.637377439,0.843017578,8,"73,81,55,84,119,17,50,87",0.5,"6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,29,8,14,25,64,27,101,7,2.37037037,2.5,0.72752792,0.866210938,8,"18,83,1,21,69,52,55,78",0.5625,"7,7,5,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
0,30,8,14,25,64,30,98,6,2.133333333,2.277608395,0.670965955,0.844970703,8,"56,44,71,105,8,12,34,53",0.515625,"6,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,31,8,14,25,64,28,100,6,2.285714286,2.436698586,0.719429027,0.861572266,8,"75,109,3,18,59,9,31,49",0.5625,"6,6,5,5,5,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,32,8,14,25,64,28,100,7,2.285714286,2.549509757,0.80039053,0.865966797,8,"36,116,109,38,57,43,46,127",0.59375,"7,7,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,33,8,14,25,64,32,96,6,2,2.263846285,0.728868987,0.838134766,8,"10,96,114,122,87,49,65,102",0.53125,"6,5,5,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,34,8,14,25,64,29,99,8,2.206896552,2.384848004,0.717730255,0.849609375,8,"98,26,30,61,68,69,73,74",0.5,"8,6,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,35,8,14,25,64,28,100,6,2.285714286,2.263846285,0.582961191,0.847167969,8,"21,7,82,59,0,3,28,63",0.5,"6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1"
0,36,8,14,25,64,27,101,7,2.37037037,2.586020108,0.788404738,0.871337891,8,"24,65,56,73,52,116,114,118",0.609375,"7,7,6,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,37,8,14,25,64,22,106,8,2.909090909,2.872281323,0.768012858,0.896972656,8,"104,23,82,98,42,66,78,26",0.6875,"8,7,7,6,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1"
0,38,8,14,25,64,31,97,5,2.064516129,2.193741097,0.638525523,0.837402344,8,"55,88,90,79,107,0,8,75",0.5,"5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,39,8,14,25,64,33,95,5,1.939393939,2.150581317,0.670965955,0.828369141,8,"18,59,10,87,103,120,61,72",0.5,"5,5,4,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,40,8,14,25,64,33,95,5,1.939393939,2.091650066,0.621081466,0.823486328,8,"55,115,84,119,7,17,18,73",0.46875,"5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,41,8,14,25,64,34,94,5,1.882352941,2.0,0.572821962,0.8125,8,"83,2,69,17,18,46,52,58",0.4375,"5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,42,8,14,25,64,33,95,5,1.939393939,2.106537443,0.633920712,0.822753906,8,"32,36,76,102,7,37,60,18",0.46875,"5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,43,8,14,25,64,35,93,5,1.828571429,1.984313483,0.591690507,0.807128906,8,"78,6,87,96,19,20,112,12",0.4375,"5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,44,8,14,25,64,35,93,7,1.828571429,2.121320344,0.709863543,0.815185547,8,"121,20,48,0,30,94,98,99",0.46875,"7,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,45,8,14,25,64,35,93,5,1.828571429,2.015564437,0.619901076,0.810058594,8,"84,7,70,80,111,1,107,17",0.453125,"5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,46,8,14,25,64,31,97,5,2.064516129,2.106537443,0.56293386,0.830566406,8,"84,8,75,115,29,30,31,38",0.453125,"5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
0,47,8,14,25,64,28,100,5,2.285714286,2.236067977,0.559016994,0.847900391,8,"111,47,66,88,120,123,9,35",0.484375,"5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1"
1,0,8,15,26,64,41,87,4,1.56097561,1.677050983,0.470309904,0.749755859,8,"104,114,16,18,26,28,36,44",0.3125,"4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,1,8,15,26,64,34,94,5,1.882352941,2.046338193,0.614759862,0.812744141,8,"23,58,88,16,45,95,3,29",0.4375,"5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,2,8,15,26,64,35,93,6,1.828571429,1.984313483,0.591690507,0.802001953,8,"47,40,100,23,126,7,10,14",0.40625,"6,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,3,8,15,26,64,32,96,7,2,2.304886114,0.760345316,0.8359375,8,"16,112,84,4,53,2,29,40",0.5,"7,6,5,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,4,8,15,26,64,35,93,7,1.828571429,2.222048604,0.789642423,0.821044922,8,"104,56,81,50,52,93,18,21",0.5,"7,5,5,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,5,8,15,26,64,32,96,6,2,2.304886114,0.760345316,0.837890625,8,"13,17,68,47,107,117,10,56",0.515625,"6,6,6,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,6,8,15,26,64,40,88,5,1.6,1.820027472,0.589623821,0.772705078,8,"8,25,32,34,56,71,79,80",0.40625,"5,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,7,8,15,26,64,44,84,4,1.454545455,1.695582496,0.576221529,0.741210938,8,"9,109,3,16,18,87,28,53",0.375,"4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,8,8,15,26,64,43,85,5,1.488372093,1.785357107,0.637760363,0.752441406,8,"116,38,109,43,46,14,20,29",0.390625,"5,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,9,8,15,26,64,39,89,7,1.641025641,2.015564437,0.736532734,0.787841797,8,"10,65,114,19,87,117,25,35",0.4375,"7,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,10,8,15,26,64,36,92,5,1.777777778,1.920286437,0.56423344,0.796630859,8,"53,32,88,30,74,95,5,37",0.40625,"5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,11,8,15,26,64,34,94,6,1.882352941,2.061552813,0.628117226,0.813232422,8,"89,21,82,7,67,87,8,16",0.4375,"6,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,12,8,15,26,64,38,90,5,1.684210526,1.903943276,0.610775634,0.7890625,8,"116,56,114,14,26,52,97,0",0.421875,"5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,13,8,15,26,64,35,93,6,1.828571429,2.0,0.605959982,0.805175781,8,"104,42,98,16,77,82,18,36",0.421875,"6,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,14,8,15,26,64,43,85,6,1.488372093,1.75,0.603942128,0.745361328,8,"55,88,107,8,20,40,60,69",0.34375,"6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
