step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,0,21,7,0.109375,1.278838277,1
0,0,50,7,0.109375,1.188344866,2
0,0,2,6,0.09375,0.869615495,3
0,0,75,6,0.09375,0.647179864,4
0,0,34,4,0.0625,0.188605618,5
0,0,97,4,0.0625,0.310365092,6
0,0,51,3,0.046875,0.161938418,7
0,0,13,2,0.03125,0.135124952,8
0,0,57,2,0.03125,0.246618696,0
0,0,63,2,0.03125,0.536659956,0
0,0,80,2,0.03125,0.274710253,0
0,0,103,2,0.03125,0.170872696,0
0,0,106,2,0.03125,0.38816908,0
0,0,110,2,0.03125,0.160597168,0
0,0,125,2,0.03125,0.174749836,0
0,0,11,1,0.015625,0.22056146,0
0,0,14,1,0.015625,0.065011784,0
0,0,23,1,0.015625,0.08599367,0
0,0,30,1,0.015625,0.090120591,0
0,0,69,1,0.015625,0.057536893,0
0,0,81,1,0.015625,0.038931381,0
0,0,87,1,0.015625,0.241175205,0
0,0,91,1,0.015625,0.061938986,0
0,0,93,1,0.015625,0.207198307,0
0,0,105,1,0.015625,0.110418051,0
0,0,124,1,0.015625,0.088723406,0
0,1,6,8,0.125,1.924317002,1
0,1,119,7,0.109375,1.109267846,2
0,1,3,6,0.09375,0.63263236,3
0,1,95,5,0.078125,0.412042182,4
0,1,23,4,0.0625,0.36957014,5
0,1,58,4,0.0625,0.862456039,6
0,1,80,3,0.046875,0.220371105,7
0,1,88,3,0.046875,0.239410475,8
0,1,9,2,0.03125,0.26830031,0
0,1,19,2,0.03125,0.196174987,0
0,1,22,2,0.03125,0.121332802,0
0,1,41,2,0.03125,0.140461616,0
0,1,48,2,0.03125,0.173529394,0
0,1,116,2,0.03125,0.149637088,0
0,1,4,1,0.015625,0.068981983,0
0,1,15,1,0.015625,0.05857287,0
0,1,28,1,0.015625,0.048451524,0
0,1,37,1,0.015625,0.081967436,0
0,1,42,1,0.015625,0.079445548,0
0,1,62,1,0.015625,0.071171716,0
0,1,63,1,0.015625,0.058443692,0
0,1,68,1,0.015625,0.066225387,0
0,1,78,1,0.015625,0.107494406,0
0,1,83,1,0.015625,0.06138384,0
0,1,90,1,0.015625,0.331106097,0
0,1,123,1,0.015625,0.147252157,0
0,2,47,7,0.109375,2.471063614,1
0,2,40,6,0.09375,0.436453842,2
0,2,84,5,0.078125,0.393857554,3
0,2,95,4,0.0625,0.238158002,4
0,2,122,4,0.0625,0.879982978,5
0,2,100,3,0.046875,0.149694435,6
0,2,125,3,0.046875,0.204287827,7
0,2,8,2,0.03125,0.344154164,8
0,2,14,2,0.03125,0.118675467,0
0,2,15,2,0.03125,0.158423334,0
0,2,25,2,0.03125,0.086277507,0
0,2,53,2,0.03125,0.175423145,0
0,2,54,2,0.03125,0.318290561,0
0,2,88,2,0.03125,0.116878375,0
0,2,90,2,0.03125,0.339337662,0
0,2,4,1,0.015625,0.163302422,0
0,2,16,1,0.015625,0.047778603,0
0,2,22,1,0.015625,0.075942621,0
0,2,32,1,0.015625,0.043373656,0
0,2,46,1,0.015625,0.107096337,0
0,2,51,1,0.015625,0.040592439,0
0,2,59,1,0.015625,0.133283541,0
0,2,63,1,0.015625,0.09018416,0
0,2,65,1,0.015625,0.237603605,0
