layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
0,0,1,1,0.116666667,0.0,0.890625,0.0,1.0,False
0,1,2,1,0.310344828,0.066666667,0.65625,0.016666667,1.0,False
0,2,3,1,0.510638298,0.066666667,0.421875,0.037179487,1.0,False
0,3,4,1,0.428571429,0.142857143,0.515625,0.112728938,1.0,False
0,4,5,1,0.203389831,0.0,0.796875,0.016666667,1.0,False
0,5,6,1,0.136986301,0.0,0.84375,0.008333333,1.0,False
0,6,7,1,0.328358209,0.0,0.640625,0.045512821,1.0,False
1,0,1,1,0.333333333,0.454545455,0.5625,0.208558109,1.0,False
1,1,2,1,0.352941176,0.230769231,0.515625,0.191575092,1.0,False
1,2,3,1,0.326923077,0.454545455,0.5,0.193131868,1.0,False
1,3,4,1,0.365384615,0.230769231,0.53125,0.11959707,1.0,False
1,4,5,1,0.327586207,0.142857143,0.578125,0.16456044,1.0,False
1,5,6,1,0.383333333,0.142857143,0.515625,0.256410256,1.0,False
1,6,7,1,0.359375,0.230769231,0.5625,0.130586081,1.0,False
2,0,1,1,0.466666667,0.230769231,0.40625,0.317216117,1.0,False
2,1,2,1,0.32,0.230769231,0.609375,0.222244422,1.0,False
2,2,3,1,0.512195122,0.454545455,0.375,0.251415251,1.0,False
2,3,4,1,0.36,0.230769231,0.515625,0.213919414,1.0,False
2,4,5,1,0.339622642,0.230769231,0.5625,0.233558109,1.0,False
2,5,6,1,0.377358491,0.230769231,0.515625,0.218406593,1.0,False
2,6,7,1,0.383333333,0.230769231,0.53125,0.161854812,1.0,False
3,0,1,1,0.421052632,0.454545455,0.4375,0.403074703,1.0,False
3,1,2,1,0.488372093,0.230769231,0.421875,0.322843823,1.0,False
3,2,3,1,0.605263158,0.454545455,0.28125,0.41026751,1.0,False
3,3,4,1,0.5,0.6,0.375,0.333499833,1.0,False
3,4,5,1,0.425531915,0.454545455,0.4375,0.325174825,1.0,False
3,5,6,1,0.450980392,0.333333333,0.375,0.395382395,1.0,False
3,6,7,1,0.403508772,0.142857143,0.5,0.253146853,1.0,False
4,0,1,1,0.463414634,0.454545455,0.375,0.371328671,1.0,False
4,1,2,1,0.577777778,0.333333333,0.359375,0.303196803,1.0,False
4,2,3,1,0.510638298,0.230769231,0.40625,0.273393273,1.0,False
4,3,4,1,0.553191489,0.142857143,0.40625,0.365967366,1.0,False
4,4,5,1,0.384615385,0.333333333,0.4375,0.274358974,1.0,False
4,5,6,1,0.392857143,0.230769231,0.484375,0.308824509,1.0,False
4,6,7,1,0.369230769,0.230769231,0.515625,0.196703297,1.0,False
5,0,1,1,0.341463415,0.454545455,0.421875,0.371572872,1.0,False
5,1,2,1,0.413043478,0.333333333,0.375,0.298160173,1.0,False
5,2,3,1,0.534883721,0.230769231,0.375,0.350815851,1.0,False
5,3,4,1,0.42,0.142857143,0.484375,0.265700966,1.0,False
5,4,5,1,0.403846154,0.230769231,0.46875,0.300491175,1.0,False
5,5,6,1,0.385964912,0.454545455,0.484375,0.192807193,1.0,False
5,6,7,1,0.359375,0.142857143,0.546875,0.215750916,1.0,False
6,0,1,1,0.422222222,0.6,0.46875,0.362049062,1.0,False
6,1,2,1,0.529411765,0.333333333,0.375,0.272194472,1.0,False
6,2,3,1,0.56,0.454545455,0.34375,0.401631702,1.0,False
6,3,4,1,0.612244898,0.230769231,0.296875,0.447785548,1.0,False
6,4,5,1,0.5,0.333333333,0.421875,0.378399378,1.0,False
6,5,6,1,0.543478261,0.333333333,0.375,0.37012987,1.0,False
6,6,7,1,0.543859649,0.454545455,0.375,0.35042735,1.0,False
7,0,1,1,0.48,0.6,0.421875,0.424675325,1.0,False
7,1,2,1,0.538461538,0.6,0.34375,0.31002331,1.0,False
7,2,3,1,0.608695652,0.454545455,0.28125,0.452525253,1.0,False
7,3,4,1,0.638297872,0.454545455,0.265625,0.524553225,1.0,False
7,4,5,1,0.530612245,0.454545455,0.359375,0.473038073,1.0,False
7,5,6,1,0.549019608,0.333333333,0.359375,0.495260295,1.0,False
7,6,7,1,0.491525424,0.333333333,0.390625,0.377056277,1.0,False
8,0,1,1,0.3125,0.333333333,0.546875,0.313189588,1.0,False
