name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
qkv,qkv,GPU_COMPUTE,norm1,1.008192000,3.635776000,4.643968000,norm1,QKV projection
rope,rope,GPU_COMPUTE,qkv,4.643968000,1.018432000,5.662400000,qkv,QK norm and RoPE
attention,attention,GPU_COMPUTE,rope,5.662400000,3.113536000,8.775936000,rope,decode attention on GPU
o_proj,attention_output,GPU_COMPUTE,attention,8.775936000,3.109440000,11.885376000,attention,attention output projection
residual1,residual,GPU_COMPUTE,o_proj,11.885376000,1.012288000,12.897664000,o_proj,residual add
norm2,norm,GPU_COMPUTE,residual1,12.897664000,1.008192000,13.905856000,residual1,RMSNorm
router,router,GPU_COMPUTE,norm2,13.905856000,2.069888000,15.975744000,norm2,MoE router
metadata,metadata,GPU_COMPUTE,router,15.975744000,1.000128000,16.975872000,router,routing metadata
dispatch,dispatch,,metadata,16.975872000,0.000000000,16.975872000,metadata,single-GPU dispatch placeholder
scheduler,scheduler,GPU_COMPUTE,metadata,16.975872000,0.000000000,16.975872000,metadata,gpu-only placement policy
gpu_weight_load,gpu_weight_load,HBM_MEM_PATH,scheduler,16.975872000,58.982400000,75.958272000,scheduler,expert weights HBM to GPU
gpu_expert_compute,gpu_expert,GPU_COMPUTE,gpu_weight_load;dispatch,75.958272000,3.268435456,79.226707456,gpu_weight_load,grouped expert GEMM
pim_gwrite,pim_write,GPU_PIM_IO,scheduler;dispatch,16.975872000,0.000000000,16.975872000,scheduler,PIM_GWRITE token operands
pim_expert_compute,pim_expert,PIM_COMPUTE,pim_gwrite,16.975872000,0.000000000,16.975872000,pim_gwrite,serialized PIM expert GEMV
pim_read,pim_read,GPU_PIM_IO,pim_expert_compute,16.975872000,0.000000000,16.975872000,pim_gwrite,PIM expert result read
combine,combine,GPU_COMPUTE,gpu_expert_compute;pim_read,79.226707456,1.036864000,80.263571456,gpu_expert_compute,weighted expert combine
residual2,residual,GPU_COMPUTE,combine,80.263571456,1.012288000,81.275859456,combine,residual add
