gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,selected
0,,0,64,0.0,0.0,0.0,98.534592,20.0,118.534592,True,False
2,0;1,13,51,5.406336,3.054525952,8.460861952,78.545688,20.0,98.545688,True,False
12,0;1;2;3;4;5;6;7;8;9;10;11,26,38,35.22324,3.109051904,38.332291904,58.521528,20.0,78.521528,False,False
15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,29,35,44.30244,3.121634816,47.424074816,53.922336,20.0,73.922336,False,False
16,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,30,34,47.040864,3.12582912,50.16669312,52.36452,20.0,72.36452,True,True
17,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,31,33,50.04324,3.130023424,53.173263424,50.844456,20.0,73.173263424,False,False
18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,32,32,53.090544,3.134217728,56.224761728,49.286328,20.0,76.224761728,False,False
25,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,39,25,73.863816,3.163577856,77.027393856,38.531376,20.0,97.027393856,False,False
33,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32,47,17,97.551792,3.197132288,100.748924288,26.218296,20.0,120.748924288,True,False
50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49,64,0,148.458024,3.268435456,151.726459456,0.0,20.0,171.726459456,True,False
